Asset Name,Category,Sub-Category,Status,Latitude,Longitude,Region,Description,Capacity/Key Metric,Cleaned_Region
Diriyah Gate,Giga Project,Culture/Heritage,Under Construction,24.7333,46.575,Riyadh,Historic capital redevelopment; UNESCO site,Cultural District,Riyadh
Roshn (Sedra),Real Estate,Housing,Under Construction,24.8387,46.746,Riyadh,Integrated community living; PIF backed,30k Homes,Riyadh
Ceer Motors Factory,Industrial,Automotive,Planned,22.4844,39.1534,Makkah,First Saudi EV brand manufacturing plant (KAEC),EV Production,Makkah
Lucid Motors Factory,Industrial,Automotive,Under Construction,22.4542,39.1239,Makkah,International EV manufacturing hub (KAEC),155k Vehicles/yr,Makkah
Al-Khnaiguiyah,Mining,Zinc/Copper,Opportunity,24.25,45.0833,Riyadh,Major exploration license recently auctioned,25M tonnes ore,Riyadh
Umm Ad Damar,Mining,Copper/Gold,Opportunity,23.65,41.05,Madinah,Mining exploration belt; open for investment,Exploration License,Madinah
Jabal Sayid,Mining,Copper,Existing,23.8505,40.9411,Madinah,Underground copper mine; Maaden-Barrick JV,Copper Concentrate,Madinah
Al Jalamid,Mining,Phosphate,Existing,31.2869,39.9572,Northern Borders,Phosphate mine feeding Wa'ad Al Shamal,Phosphate Rock,Northern Borders
Al Baitha,Mining,Bauxite,Existing,27.4642,43.9167,Qassim,Bauxite mine feeding Ras Al Khair aluminum,Bauxite Ore,Qassim
Juranah ISWR,Utilities,Water Storage,Planned,21.52,39.8,Makkah,Independent Strategic Water Reservoir; Tender Phase,2.5M m3 Storage,Makkah
Al-Sadawi Solar PV,Energy,Renewable,Planned,28.52,47.45,Eastern,NREP Round 5 Solar Project,2000 MW,Eastern Region
Al-Masa'a Solar PV,Energy,Renewable,Planned,27.2,42.4,Hail,NREP Round 5 Solar Project,1000 MW,Hail
Al-Henakiyah Solar PV,Energy,Renewable,Planned,24.86,40.5,Madinah,NREP Round 4 Solar Project,1100 MW,Madinah
Tabarjal Solar PV,Energy,Renewable,Planned,30.5,38.2,Al-Jouf,NREP Round 4 Solar Project,400 MW,Al-Jouf
Riyadh Integrated Logistics Zone,Logistics,Special Zone,Under Construction,24.93,46.73,Riyadh,Special Integrated Logistics Zone at RUH Airport,Tax-Free Zone,Riyadh
Jeddah Logistics Park,Logistics,Logistics Park,Planned,21.46,39.18,Makkah,New logistics zone at Jeddah Islamic Port (Maersk),Warehousing,Makkah
King Abdullah Port Logistics,Logistics,Logistics Park,Existing,22.52,39.06,Makkah,Logistics park integrated with port,Petrochem Logistics,Makkah
Dammam Logistics Park,Logistics,Logistics Park,Planned,26.54,50.18,Eastern,New logistics zone at King Abdulaziz Port,Container Support,Eastern Region
Khobar 2 Desalination,Utilities,Desalination,Existing,26.18,50.2,Eastern,Supplies Eastern Province,600k m3/day,Eastern Region
Jubail 3A (Jazlah),Utilities,Desalination,Under Construction,26.96,49.6,Eastern,Independent Water Project (IWP),600k m3/day,Eastern Region
Jubail 3B,Utilities,Desalination,Under Construction,27.05,49.65,Eastern,Independent Water Project (IWP),570k m3/day,Eastern Region
Shuqaiq 3 IWP,Utilities,Desalination,Existing,17.66,42.06,Jazan,Major SWRO plant for southern region,450k m3/day,Jazan
Taiba 1 & 2,Energy,Power Generation,Planned,24.2,38.4,Madinah,CCGT Power Plants with Carbon Capture readiness,3.6 GW,Madinah
Qassim 1 & 2,Energy,Power Generation,Planned,26.1,44.2,Qassim,CCGT Power Plants with Carbon Capture readiness,3.6 GW,Qassim
Muhayil Mining License,Mining,Gold/Copper,Opportunity,18.55,42.0,Asir,Exploration license up for auction,Exploration Belt,Aseer
Bir Umq Mining License,Mining,Copper,Opportunity,23.9,40.7,Madinah,Exploration license up for auction,Exploration Belt,Madinah
Jabal Idsas,Mining,Iron Ore,Opportunity,24.3,45.2,Riyadh,Iron ore deposit investment opportunity,Iron Ore,Riyadh
Wadi Sawawin,Mining,Iron Ore,Opportunity,28.1,35.5,Tabuk,Iron ore pellets project opportunity,Iron Ore,Tabuk
Riyadh Metro Main Station,Infrastructure,Transport,Under Construction,24.64,46.72,Riyadh,KAFD Metro Station (Key Node),Public Transport,Riyadh
Jeddah Metro (Planned),Infrastructure,Transport,Planned,21.5,39.15,Makkah,Future metro network for Jeddah,Public Transport,Makkah
Saudi Landbridge,Infrastructure,Transport,Planned,23.5,43.5,Multiple,Rail link connecting Red Sea to Arabian Gulf,Freight/Passenger,Multiple
Al-Ula (Journey Through Time),Giga Project,Tourism,Existing,26.61,37.92,Madinah,Living museum and heritage tourism,Heritage Site,Madinah
Amaala,Giga Project,Tourism/Wellness,Under Construction,26.65,36.2,Tabuk,Luxury wellness destination (Red Sea Global),3000 Hotel Keys,Tabuk
THE RIG.,Giga Project,Tourism/Adventure,Planned,27.19,49.8,Eastern,Offshore oil rig themed adventure park,Tourism,Eastern Region
New Murabba (The Mukaab),Giga Project,Mixed Use,Planned,24.78,46.6,Riyadh,New downtown Riyadh & world's largest structure,Urban Dev,Riyadh
Saudi Downtown (12 Cities),Real Estate,Mixed Use,Planned,24.0,45.0,Multiple,Projects in 12 cities (Arar; Dombat; etc.),Urban Regeneration,Multiple
Konoz (Box of Treasures),Real Estate,Mixed Use,Planned,24.69,46.66,Riyadh,Entertainment & commercial city by Abdullah Al Othaim,Commercial,Riyadh
Riyadh Air Operations Center,Infrastructure,Aviation,Planned,24.95,46.7,Riyadh,HQ for new national airline (at RUH),Aviation,Riyadh
CST Coverage Map,Investor Tool,Digital Service,Active,24.71,46.67,National,Source: www.cst.gov.sa (Check 5G/Fiber coverage),Coverage Check,National
NWC Pumping Map,Investor Tool,Digital Service,Active,24.71,46.67,National,Source: e.nwc.com.sa (Check water schedule/network),Coverage Check,National
Balady Excavation Map,Investor Tool,Digital Service,Active,24.71,46.67,National,Source: balady.gov.sa (Check infra permits/digging),Coverage Check,National
SEC Wasalah,Investor Tool,Digital Service,Active,24.71,46.67,National,Source: se.com.sa (Check electrical capacity),Connection Request,National
